#AUTHID,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
2000_576170.txt,0.24193548387096775,0.06451612903225806,0.04838709677419355,0.1774193548387097,0.04838709677419355,0.04838709677419355,0.14516129032258066,0.03225806451612903,0.06451612903225806,0.16129032258064516
2000_576862.txt,0.14285714285714285,0.047619047619047616,0.015873015873015872,0.06349206349206349,0.0,0.031746031746031744,0.1111111111111111,0.047619047619047616,0.047619047619047616,0.09523809523809523
1998_733941.txt,0.13043478260869565,0.043478260869565216,0.0,0.13043478260869565,0.0,0.0,0.043478260869565216,0.0,0.021739130434782608,0.043478260869565216
2000_904579.txt,0.27722772277227725,0.07920792079207921,0.019801980198019802,0.13861386138613863,0.0297029702970297,0.0297029702970297,0.13861386138613863,0.04950495049504951,0.0594059405940594,0.15841584158415842
2002_097387.txt,0.225,0.15,0.075,0.15,0.025,0.06666666666666667,0.13333333333333333,0.05,0.09166666666666666,0.10833333333333334
1999_892501.txt,0.18095238095238095,0.11428571428571428,0.05714285714285714,0.18095238095238095,0.047619047619047616,0.10476190476190476,0.12380952380952381,0.12380952380952381,0.06666666666666667,0.10476190476190476
1999_855682.txt,0.2647058823529412,0.058823529411764705,0.014705882352941176,0.07352941176470588,0.014705882352941176,0.04411764705882353,0.08823529411764706,0.029411764705882353,0.04411764705882353,0.08823529411764706
2004_113.txt,0.14606741573033707,0.1348314606741573,0.056179775280898875,0.12359550561797752,0.011235955056179775,0.0449438202247191,0.033707865168539325,0.056179775280898875,0.056179775280898875,0.15730337078651685
2002_517265.txt,0.1891891891891892,0.11711711711711711,0.06306306306306306,0.08108108108108109,0.04504504504504504,0.07207207207207207,0.10810810810810811,0.07207207207207207,0.04504504504504504,0.13513513513513514
2000_626823.txt,0.22727272727272727,0.09090909090909091,0.0,0.20454545454545456,0.0,0.0,0.13636363636363635,0.0,0.13636363636363635,0.18181818181818182
1998_830292.txt,0.22727272727272727,0.09090909090909091,0.015151515151515152,0.15151515151515152,0.030303030303030304,0.030303030303030304,0.13636363636363635,0.06060606060606061,0.06060606060606061,0.16666666666666666
1997_475230.txt,0.19607843137254902,0.17647058823529413,0.058823529411764705,0.19607843137254902,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.11764705882352941
1999_670670.txt,0.13953488372093023,0.046511627906976744,0.046511627906976744,0.11627906976744186,0.023255813953488372,0.06976744186046512,0.0,0.023255813953488372,0.06976744186046512,0.06976744186046512
1997_416158.txt,0.1,0.18333333333333332,0.05,0.11666666666666667,0.06666666666666667,0.1,0.08333333333333333,0.1,0.05,0.1
2003_412.txt,0.17894736842105263,0.10526315789473684,0.05263157894736842,0.15789473684210525,0.06315789473684211,0.042105263157894736,0.1368421052631579,0.08421052631578947,0.09473684210526316,0.09473684210526316
1997_801472.txt,0.22058823529411764,0.11764705882352941,0.07352941176470588,0.10294117647058823,0.058823529411764705,0.08823529411764706,0.1323529411764706,0.058823529411764705,0.058823529411764705,0.20588235294117646
2002_750065.txt,0.17204301075268819,0.08602150537634409,0.043010752688172046,0.0967741935483871,0.021505376344086023,0.010752688172043012,0.08602150537634409,0.043010752688172046,0.043010752688172046,0.12903225806451613
2004_490.txt,0.3707865168539326,0.10112359550561797,0.02247191011235955,0.2247191011235955,0.011235955056179775,0.033707865168539325,0.2247191011235955,0.033707865168539325,0.06741573033707865,0.20224719101123595
2004_133.txt,0.2631578947368421,0.09210526315789473,0.013157894736842105,0.18421052631578946,0.013157894736842105,0.02631578947368421,0.15789473684210525,0.013157894736842105,0.046052631578947366,0.17763157894736842
