#AUTHID,Kincaid,ARI,Coleman-Liau,FleschReadingEase,GunningFogIndex,LIX,SMOGIndex,RIX,DaleChallIndex,characters_per_word,syll_per_word,words_per_sentence,sentences_per_paragraph,type_token_ratio,characters,syllables,words,wordtypes,sentences,paragraphs,long_words,complex_words,complex_words_dc,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization,interrogative,article,subordination
2000_576170.txt,3.738972280334732,4.159440376569037,4.839892713389123,94.86130360878663,8.485460251046026,25.188546025104603,8.303300858899107,1.53125,6.623676150627615,3.8472803347280333,1.1443514644351465,14.9375,32.0,0.4581589958158996,1839.0,547.0,478.0,219.0,32.0,1.0,49.0,30.0,68.0,20.0,13.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
2000_576862.txt,1.903324219160794,2.468280576296138,3.2322601828793793,106.15963245346516,7.346640025239248,24.981386055316015,7.318408115110087,1.5405405405405406,7.551121495425386,3.5992217898832686,1.0233463035019454,13.891891891891891,37.0,0.4591439688715953,1850.0,526.0,514.0,236.0,37.0,1.0,57.0,23.0,105.0,15.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
1998_733941.txt,6.890144927536234,7.749565217391304,4.983537579710148,86.62913043478262,11.518840579710146,34.594202898550726,9.32455532033676,2.6666666666666665,7.294546376811594,3.753623188405797,1.144927536231884,23.0,9.0,0.5652173913043478,777.0,237.0,207.0,117.0,9.0,1.0,24.0,12.0,33.0,6.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2000_904579.txt,5.645264700212071,6.393932909196067,4.321464707152497,92.29741700404858,10.303929053402738,31.56279159437054,8.398412465054623,2.2,7.435469253903991,3.659919028340081,1.0998650472334683,21.17142857142857,35.0,0.42780026990553305,2712.0,815.0,741.0,317.0,35.0,1.0,77.0,34.0,129.0,22.0,14.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
2002_097387.txt,1.9110000000000014,2.1797142857142866,3.5036644285714296,103.6255,6.771428571428571,22.07142857142857,7.075186235884546,1.1964285714285714,7.031028571428571,3.6857142857142855,1.07,12.5,56.0,0.4228571428571429,2580.0,749.0,700.0,296.0,56.0,1.0,67.0,31.0,123.0,20.0,13.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
1999_892501.txt,4.8843725415556385,5.0353229285623655,4.7447831815336485,90.80426722497147,9.537216089328766,29.476843040223322,8.835585150955648,2.108108108108108,6.840601493042338,3.785602503912363,1.164319248826291,17.27027027027027,37.0,0.431924882629108,2419.0,744.0,639.0,276.0,37.0,1.0,78.0,42.0,95.0,25.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1999_855682.txt,6.1407674669544114,6.243096843809013,7.252687014836802,78.31968640410038,10.75635284596709,32.82560021580793,10.292586522065966,2.6818181818181817,8.191504370110602,4.249258160237389,1.3353115727002967,15.318181818181818,22.0,0.5222551928783383,1432.0,450.0,337.0,176.0,22.0,1.0,59.0,39.0,81.0,14.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
2004_113.txt,4.150911825173228,3.97121525927054,5.777827168126098,87.41159274347066,8.257686743318358,25.37276326810325,8.53644054542659,1.608695652173913,6.989857709586538,4.075306479859895,1.2626970227670753,12.41304347826087,46.0,0.4921190893169877,2327.0,721.0,571.0,281.0,46.0,1.0,74.0,47.0,99.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002_517265.txt,5.559109693682686,6.592001374990453,6.231866802612483,87.50082327553282,9.57483767473837,31.193988236192805,8.619514869490164,2.3684210526315788,7.240064341914293,4.0246734397677795,1.193033381712627,18.13157894736842,38.0,0.41944847605224966,2773.0,822.0,689.0,289.0,38.0,1.0,90.0,40.0,118.0,37.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2000_626823.txt,2.37102156238954,3.1852350653941315,3.06992461788618,106.63867444326618,7.393001060445387,22.547543301519973,6.426241444320965,1.0434782608695652,7.042527524449158,3.5230352303523036,0.991869918699187,16.043478260869566,23.0,0.4959349593495935,1300.0,366.0,369.0,183.0,23.0,1.0,24.0,9.0,61.0,11.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
