id,Valence,Arousal,Dominance
0,0.6318263888888891,0.4091180555555558,0.5269652777777777
1,0.6115185185185179,0.4369259259259261,0.5191750841750844
2,0.6506288209606987,0.4307423580786028,0.5412576419213976
3,0.625537190082645,0.42872727272727273,0.5429504132231405
4,0.5917899159663869,0.43753781512605044,0.5272100840336139
5,0.6131886792452833,0.4312587601078168,0.5336442048517525
6,0.6361924198250727,0.43922448979591855,0.5310641399416911
7,0.6343695014662759,0.4496715542521991,0.5452375366568912
8,0.6465228426395941,0.42997461928934033,0.5283756345177666
9,0.5931826347305391,0.4449820359281436,0.5168952095808383
10,0.5952045454545455,0.4547102272727272,0.5340397727272725
11,0.65617,0.432055,0.522345
12,0.6094879725085914,0.4567663230240549,0.5287731958762887
13,0.6581388174807199,0.4366632390745499,0.5366863753213367
14,0.6174372294372298,0.4293722943722945,0.5301558441558443
15,0.5977585034013607,0.4453503401360542,0.5288979591836735
16,0.6260515759312318,0.43677650429799436,0.5460057306590258
17,0.6569104859335038,0.44394884910485966,0.5509667519181586
18,0.6302666666666664,0.426640476190476,0.5401071428571429
19,0.6225370370370369,0.4217814814814816,0.5423518518518516
20,0.6345888888888894,0.4340555555555558,0.5619333333333333
21,0.6143828125,0.44809765624999986,0.5349843750000004
22,0.6204741035856572,0.4499442231075697,0.5300119521912349
23,0.6535652173913045,0.4346956521739131,0.5326459627329193
24,0.6501708185053381,0.4182846975088968,0.5411281138790035
25,0.6535152671755725,0.4288473282442749,0.5369083969465648
26,0.6431651376146788,0.43400917431192615,0.5505986238532112
27,0.6313534883720929,0.4156930232558141,0.5081581395348839
28,0.654156804733728,0.43812426035502955,0.5427011834319532
29,0.6249411764705882,0.42179901960784305,0.522740196078431
30,0.6275826558265586,0.44215718157181566,0.5189024390243905
31,0.6276872586872588,0.4750888030888031,0.5347335907335905
32,0.6588970099667775,0.4224285714285717,0.5606279069767439
33,0.6361321321321325,0.4472762762762763,0.5398888888888892
34,0.6353021582733815,0.4619928057553955,0.5362949640287766
35,0.5895542168674698,0.4810963855421688,0.537024096385542
36,0.6464525745257452,0.43944715447154475,0.5300813008130084
