id,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
0,0.2621359223300971,0.038834951456310676,0.019417475728155338,0.17475728155339806,0.019417475728155338,0.04854368932038835,0.17475728155339806,0.038834951456310676,0.06796116504854369,0.1941747572815534
1,0.17307692307692307,0.14743589743589744,0.07692307692307693,0.10256410256410256,0.03205128205128205,0.08333333333333333,0.08974358974358974,0.07051282051282051,0.0641025641025641,0.09615384615384616
2,0.25190839694656486,0.0916030534351145,0.04580152671755725,0.0916030534351145,0.05343511450381679,0.07633587786259542,0.13740458015267176,0.061068702290076333,0.04580152671755725,0.1450381679389313
3,0.2191780821917808,0.10273972602739725,0.06164383561643835,0.08904109589041095,0.0136986301369863,0.03424657534246575,0.0684931506849315,0.06164383561643835,0.0273972602739726,0.136986301369863
4,0.21621621621621623,0.14864864864864866,0.05405405405405406,0.1554054054054054,0.060810810810810814,0.060810810810810814,0.10810810810810811,0.06756756756756757,0.07432432432432433,0.11486486486486487
5,0.2403846153846154,0.14423076923076922,0.0625,0.14903846153846154,0.02403846153846154,0.08173076923076923,0.07692307692307693,0.09615384615384616,0.052884615384615384,0.1778846153846154
6,0.2634146341463415,0.12195121951219512,0.06341463414634146,0.14146341463414633,0.03902439024390244,0.07317073170731707,0.13658536585365855,0.08780487804878048,0.06341463414634146,0.17073170731707318
7,0.26732673267326734,0.14356435643564355,0.054455445544554455,0.12871287128712872,0.039603960396039604,0.06435643564356436,0.16831683168316833,0.09405940594059406,0.08415841584158416,0.12871287128712872
8,0.25190839694656486,0.1450381679389313,0.05343511450381679,0.1297709923664122,0.04580152671755725,0.08396946564885496,0.1297709923664122,0.09923664122137404,0.061068702290076333,0.13740458015267176
9,0.1917808219178082,0.1780821917808219,0.1004566210045662,0.1187214611872146,0.0867579908675799,0.091324200913242,0.0958904109589041,0.0684931506849315,0.0776255707762557,0.1415525114155251
10,0.18292682926829268,0.21138211382113822,0.08130081300813008,0.1016260162601626,0.07723577235772358,0.10569105691056911,0.056910569105691054,0.12601626016260162,0.044715447154471545,0.11382113821138211
11,0.2571428571428571,0.09523809523809523,0.02857142857142857,0.13333333333333333,0.01904761904761905,0.0380952380952381,0.1619047619047619,0.047619047619047616,0.0761904761904762,0.1523809523809524
12,0.21693121693121692,0.15873015873015872,0.06878306878306878,0.13756613756613756,0.0582010582010582,0.07936507936507936,0.10052910052910052,0.08465608465608465,0.06349206349206349,0.13756613756613756
